item_id,location,description,category,status,expected,actual,unit,tol_plus,tol_minus,delta
P-001,Room-101-DoorA,Door width,dimension,within,900,900,mm,5,5,0
P-002,Room-101-WallN,Wall height,dimension,out_of_tol,2400,2415,mm,10,10,15
P-003,Room-102-WindowA,Window width,dimension,borderline,1200,1207.5,mm,8,8,7.5
P-005,Room-103-Floor,Floor finish material,material,material_mismatch,oak,laminate,,,,
P-006,Room-103-DoorB,Door material,material,material_match,steel,steel,,,,
P-007,Room-104-PanelA,Panel width,dimension,within,500,502,mm,5,5,2
P-008,Room-104-Fixtures,Light fixture count,count,within,4,4,count,0,0,0
P-004,Room-102-BeamA,Beam length,dimension,missing,3000,,mm,15,15,
A-999,Room-106-Shelf,,,extra,,450,mm,,,
P-009,Room-105-ColumnA,Column diameter,dimension,ambiguous,800,,mm,5,5,
